Datetime;Latitude;Longitude;Altitude;Distance;HeartRate;Speed;Cadence;Watts
2020-09-01 15:33:46+00:00;61.43244900740683;23.803471606224775;144.8000030517578;0.0;94;0.5320000052452087;None;None
2020-09-01 15:33:47+00:00;61.43243785947561;23.803489711135626;144.60000610351562;1.5499999523162842;94;0.8769999742507935;None;None
2020-09-01 15:33:48+00:00;61.43241413868964;23.803515443578362;144.1999969482422;4.440000057220459;94;1.4930000305175781;None;None
2020-09-01 15:33:49+00:00;61.432394441217184;23.803536565974355;144.0;6.860000133514404;97;1.7730000019073486;None;None
2020-09-01 15:33:50+00:00;61.432355884462595;23.80357244051993;144.39999389648438;11.319999694824219;99;2.818000078201294;None;None
2020-09-01 15:33:51+00:00;61.43231204710901;23.803617786616087;144.39999389648438;16.559999465942383;101;3.806999921798706;None;None
2020-09-01 15:33:52+00:00;61.432265527546406;23.80366095341742;144.39999389648438;22.030000686645508;102;4.432000160217285;None;None
2020-09-01 15:33:53+00:00;61.43221867270768;23.803704790771008;144.39999389648438;27.610000610351562;102;4.544000148773193;None;None
2020-09-01 15:33:54+00:00;61.432175086811185;23.803749550133944;144.39999389648438;32.90999984741211;101;4.609000205993652;None;None
2020-09-01 15:33:55+00:00;61.43213711678982;23.803797159343958;144.0;37.81999969482422;100;4.497000217437744;None;None
2020-09-01 15:33:56+00:00;61.432098811492324;23.803855245932937;143.39999389648438;43.060001373291016;100;5.140999794006348;None;None
2020-09-01 15:33:57+00:00;61.432056818157434;23.803913248702884;143.60000610351562;48.66999816894531;103;5.505000114440918;None;None
2020-09-01 15:33:58+00:00;61.43201557919383;23.803980387747288;143.39999389648438;54.470001220703125;105;5.505000114440918;None;None
2020-09-01 15:33:59+00:00;61.43196579068899;23.804036546498537;143.1999969482422;60.59000015258789;108;5.73799991607666;None;None
2020-09-01 15:34:00+00:00;61.43191793002188;23.80411047488451;143.0;67.11000061035156;108;5.729000091552734;None;None
2020-09-01 15:34:01+00:00;61.43187283538282;23.804185073822737;142.8000030517578;73.41000366210938;108;5.915999889373779;None;None
2020-09-01 15:34:02+00:00;61.431830674409866;23.804265037178993;142.60000610351562;79.73999786376953;109;5.841000080108643;None;None
2020-09-01 15:34:03+00:00;61.43178499303758;23.80434835329652;142.8000030517578;86.44999694824219;109;5.729000091552734;None;None
2020-09-01 15:34:04+00:00;61.43173813819885;23.80443485453725;142.39999389648438;93.37999725341797;109;6.232999801635742;None;None
2020-09-01 15:34:05+00:00;61.43169295974076;23.804528396576643;142.1999969482422;100.47000122070312;110;6.420000076293945;None;None
2020-09-01 15:34:06+00:00;61.43164551816881;23.80462696775794;142.0;107.91000366210938;111;6.829999923706055;None;None
2020-09-01 15:34:07+00:00;61.43159816041589;23.804728891700506;141.8000030517578;115.4800033569336;111;6.867000102996826;None;None
2020-09-01 15:34:08+00:00;61.43155415542424;23.804835760965943;141.39999389648438;123.0;112;6.960999965667725;None;None
2020-09-01 15:34:09+00:00;61.431511491537094;23.804947743192315;141.60000610351562;130.6300048828125;113;7.138000011444092;None;None
2020-09-01 15:34:10+00:00;61.43146983347833;23.805062659084797;142.0;138.32000732421875;113;7.2220001220703125;None;None
2020-09-01 15:34:11+00:00;61.43139791674912;23.805213114246726;142.0;149.47000122070312;114;7.3429999351501465;None;None
2020-09-01 15:34:12+00:00;61.43135064281523;23.805349739268422;142.0;158.47000122070312;116;7.558000087738037;None;None
2020-09-01 15:34:13+00:00;61.43130839802325;23.80548787303269;142.0;167.2100067138672;117;7.558000087738037;None;None
2020-09-01 15:34:14+00:00;61.4312712661922;23.805629443377256;142.39999389648438;175.82000732421875;118;7.670000076293945;None;None
2020-09-01 15:34:15+00:00;61.4312313683331;23.805762128904462;142.0;184.17999267578125;118;7.632999897003174;None;None
2020-09-01 15:34:16+00:00;61.431201193481684;23.80590076558292;141.0;192.3000030517578;119;7.632999897003174;None;None
2020-09-01 15:34:17+00:00;61.4311866927892;23.806042755022645;138.60000610351562;200.02999877929688;119;7.473999977111816;None;None
2020-09-01 15:34:18+00:00;61.43118929117918;23.806187761947513;138.1999969482422;207.75999450683594;119;6.568999767303467;None;None
2020-09-01 15:34:19+00:00;61.431219801306725;23.806322710588574;137.8000030517578;215.72999572753906;120;6.0370001792907715;None;None
2020-09-01 15:34:20+00:00;61.43127755261958;23.806437123566866;137.8000030517578;224.58999633789062;120;6.381999969482422;None;None
2020-09-01 15:34:21+00:00;61.43132985569537;23.806538293138146;137.8000030517578;232.50999450683594;121;6.485000133514404;None;None
2020-09-01 15:34:22+00:00;61.43138458952308;23.806638959795237;137.8000030517578;240.6300048828125;122;6.559000015258789;None;None
2020-09-01 15:34:23+00:00;61.431439239531755;23.80674264393747;138.39999389648438;248.7899932861328;123;6.922999858856201;None;None
2020-09-01 15:34:24+00:00;61.431494392454624;23.80686040967703;138.1999969482422;257.54998779296875;123;7.670000076293945;None;None
2020-09-01 15:34:25+00:00;61.431542336940765;23.80697574466467;138.8000030517578;265.67999267578125;125;6.914000034332275;None;None
2020-09-01 15:34:26+00:00;61.43159061670303;23.80709250457585;138.60000610351562;273.8900146484375;127;7.418000221252441;None;None
2020-09-01 15:34:27+00:00;61.43163328059018;23.80721856839955;138.39999389648438;282.0899963378906;127;7.866000175476074;None;None
2020-09-01 15:34:28+00:00;61.4316682331264;23.807348404079676;138.60000610351562;290.010009765625;129;7.59499979019165;None;None
2020-09-01 15:34:29+00:00;61.431699162349105;23.80747463554144;138.0;297.5799865722656;131;7.2870001792907715;None;None
